Affiliation,PIs,Cancer type 
"STUDY_DIRECTOR, Bristol-Myers Squibb, Bristol-Myers Squibb|   PRINCIPAL_INVESTIGATOR, Oscar Juan Vidal, MD, PhD, Hospital Universitario La Fe|   PRINCIPAL_INVESTIGATOR, Stefania Salvagni, MD, Azienda Ospedaliero Universitarua, Policlinico S. Orsola Malpighi|   PRINCIPAL_INVESTIGATOR, Rossana Berardi, MD, Ospedali Riuniti di Ancona|   PRINCIPAL_INVESTIGATOR, Armando Santoro, MD, IRCCS Instituto Clinic Humanitas|   PRINCIPAL_INVESTIGATOR, Benjamin Besse, MD, PhD, Gustave Roussy, Ditep","Bristol-Myers Squibb| Oscar Juan Vidal, MD, PhD| Stefania Salvagni, MD| Rossana Berardi, MD| Armando Santoro, MD| Benjamin Besse, MD, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Lara Traeger, Ph.D, Massachusetts General Hospital","Lara Traeger, Ph.D",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Parag Jasani, MBBS, FRCP, FRCPath, Royal Free London NHS Foundation Trust and University College London Hospitals","Parag Jasani, MBBS, FRCP, FRCPath",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Mayuko Ito Fukunaga, MD, University of Massachusetts, Worcester","Mayuko Ito Fukunaga, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Zhou Caicun, Professor, Shanghai Pulmonary Hospital, Shanghai, China","Zhou Caicun, Professor",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Jason J Luke, MD, PhD, UPMC Hillman Cancer Center","Jason J Luke, MD, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Steven G Reed, Ph.D, HDT Bio","Steven G Reed, Ph.D",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Juliane Hörner-Rieber, PD, University Hospital Heidelberg","Juliane Hörner-Rieber, PD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Ragnhild Nome, MD, Oslo University Hospital","Ragnhild Nome, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Gelareh Sadigh, MD, University of California, Irvine","Gelareh Sadigh, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, CongHua Xie, MD, Wuhan University|   PRINCIPAL_INVESTIGATOR, You Lu, MD, West China Hospital","CongHua Xie, MD| You Lu, MD",Lung cancer (Ongoing)
"STUDY_CHAIR, Mikkael Sekeres, MD, MS, University of Miami|   STUDY_CHAIR, Amy DeZern, MD, MHS, Johns Hopkins University","Mikkael Sekeres, MD, MS| Amy DeZern, MD, MHS",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Yuqing Huang, Director, Beijing Haidian Hospital","Yuqing Huang, Director",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Jiayuan Sun, MD., PhD., Shanghai Chest Hospital","Jiayuan Sun, MD., PhD.",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Mary E Cooley, PhD, RN, Dana-Farber Cancer Institute","Mary E Cooley, PhD, RN",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Melina Marmarelis, MD, Abramson Cancer Center at Penn Medicine","Melina Marmarelis, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Gilead Study Director, Gilead Sciences",Gilead Study Director,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_CHAIR, Valsamo Anagnostou, Johns Hopkins University|   STUDY_CHAIR, Cheryl Ho, BCCA - Vancouver Cancer Centre",Valsamo Anagnostou| Cheryl Ho,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Heather Garrett, M.D., Washington University School of Medicine","Heather Garrett, M.D.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Marcelo V. Negrao, MD, M.D. Anderson Cancer Center","Marcelo V. Negrao, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Rocco Trisolini, MD, Fondazione Policlinico Universitario A. Gemelli, IRCCS","Rocco Trisolini, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Jenny Chang, MD, Houston Methodist Cancer Center","Jenny Chang, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Dean Fennell, PhD, FRCP, University of Leicester","Dean Fennell, PhD, FRCP",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Konstantinos Leventakos, Mayo Clinic in Rochester",Konstantinos Leventakos,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Sukh Dave Singh, Prof., Medicines Evaluation Unit Ltd. (MEU), Manchester, United Kingdom","Sukh Dave Singh, Prof.",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Jennifer Wheler, MD, AntibodyChem Biosciences","Jennifer Wheler, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Yostena Mekhail, M.Sc, Menoufia University|   STUDY_CHAIR, Eman AR Tawfeek, MD, Menoufia University|   STUDY_CHAIR, Enas AB Elkhouly, MD, Menoufia University|   STUDY_CHAIR, Reham A Abdel Aziz, MD, Menoufia University|   STUDY_CHAIR, Ahmed Sohaib, MD, Menoufia University","Yostena Mekhail, M.Sc| Eman AR Tawfeek, MD| Enas AB Elkhouly, MD| Reham A Abdel Aziz, MD| Ahmed Sohaib, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Gheath Al-Atrash, MD Anderson Cancer Center, Houston, Texas",Gheath Al-Atrash,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Scott M Norberg, D.O., National Cancer Institute (NCI)","Scott M Norberg, D.O.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Ashutosh K Tewari, MD, Icahn School of Medicine at Mount Sinai|   STUDY_DIRECTOR, Dimple Chakravarty, PhD, Icahn School of Medicine at Mount Sinai|   STUDY_DIRECTOR, Sujit S Nair, PhD, Icahn School of Medicine at Mount Sinai","Ashutosh K Tewari, MD| Dimple Chakravarty, PhD| Sujit S Nair, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Alexey Aleshin, MD, Natera, Inc.","Alexey Aleshin, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Andy Itsara, M.D., National Heart, Lung, and Blood Institute (NHLBI)","Andy Itsara, M.D.",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Dr Mohammed Kamran, Future Genetics Limited",Dr Mohammed Kamran,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Andy Itsara, M.D., National Heart, Lung, and Blood Institute (NHLBI)","Andy Itsara, M.D.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Casey Williams, PharmD, Avera Cancer Institute","Casey Williams, PharmD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Pfizer CT.gov Call Center, Pfizer",Pfizer CT.gov Call Center,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Helena Yu, MD, Memorial Sloan Kettering Cancer Center","Helena Yu, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Virginia Sun, RN, PhD, City of Hope Medical Center|   PRINCIPAL_INVESTIGATOR, Jae Kim, MD, City of Hope Medical Center","Virginia Sun, RN, PhD| Jae Kim, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Ferdinandos Skoulidis, SWOG Cancer Research Network",Ferdinandos Skoulidis,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Douglas Warner, MD, EFFECTOR Therapeutics, Inc.","Douglas Warner, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Robert D McBane, Academic and Community Cancer Research United",Robert D McBane,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Siew Chien Ng, PhD, FRCP, Chinese University of Hong Kong","Siew Chien Ng, PhD, FRCP",Lung cancer (Ongoing)
"STUDY_CHAIR, Jun Liu, Ph.D, M.D., The First Affiliated Hospital of Guangzhou Medical University","Jun Liu, Ph.D, M.D.",Lung cancer (Ongoing)
"STUDY_CHAIR, Baohui Han, PhD, Shanghai Jiao Tong University Chest Hospital","Baohui Han, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, York E Miller, Northwestern University",York E Miller,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Rona Smith, Dr, Cambridge University Hospitals NHS Foundation Trust","Rona Smith, Dr",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Branko Cuglievan, MD, M.D. Anderson Cancer Center","Branko Cuglievan, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Wu-Chou Su, National Cheng Kung University Hospital,Taiwan",Wu-Chou Su,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Richard Lee, Royal Marsden NHS Foundation Trust",Richard Lee,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Juergen Debus, Prof., Head of Department","Juergen Debus, Prof.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Ignacia Wistuba, MD, M.D. Anderson Cancer Center","Ignacia Wistuba, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Clinical Trials, Hoffmann-La Roche",Clinical Trials,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Philippe GIRAUD, MD, PhD, Assistance Publique - Hôpitaux de Paris","Philippe GIRAUD, MD, PhD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Vasily Andrianov, MD, Inhibrx, Inc.","Vasily Andrianov, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Ming Ye, Master, Department of Radiation Oncology,Renji Hospital affiliated to Shanghai Jiaotong University School of Medicine","Ming Ye, Master",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Jan Van Meerbeeck, Pr., UZ Antwerpen, Belgium","Jan Van Meerbeeck, Pr.",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Galina Velikova, University of Leeds",Galina Velikova,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Lin Shen, MD, Peking University Cancer Hospital & Institute","Lin Shen, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Pfizer CT.gov Call Center, Pfizer",Pfizer CT.gov Call Center,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Marta Cobo Marcos, MD, Hospital Universitario Puerta de Hierro. Madrid. Spain","Marta Cobo Marcos, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, LEILA KATZ, MD, PhD, Instituto Materno Infantil Prof. Fernando Figueira","LEILA KATZ, MD, PhD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Eric Grogan, MD, Vanderbilt University/Ingram Cancer Center","Eric Grogan, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Joseph M Tuscano, University of California, Davis",Joseph M Tuscano,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Roberto Casal, MD, M.D. Anderson Cancer Center","Roberto Casal, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Tao Jiang, PH.D, The Fourth Military Medical University Tangdu Hospital","Tao Jiang, PH.D",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Giovanni Selvaggi, MD, Xcovery Holdings, INC","Giovanni Selvaggi, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, In Ae Kim, MD. Ph.D, Kunkuk University Medical Center","In Ae Kim, MD. Ph.D",Lung cancer (Ongoing)
"STUDY_DIRECTOR, juan li, Sichuan Cancer Hospital Chengdu, Sichuan China",juan li,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Kelly Wade-Mcbane, Imperial College Healthcare NHS Trust",Kelly Wade-Mcbane,Lung cancer (Ongoing)
"STUDY_DIRECTOR, MD, Amgen",MD,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Corinna Palanca-Wessels, Seagen Inc.",Corinna Palanca-Wessels,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Pfizer CT.gov Call Center, Pfizer",Pfizer CT.gov Call Center,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Francesco Perrone, MD, PhD, Istituto Nazionale Tumori IRCCS - Fondazione G. Pascale","Francesco Perrone, MD, PhD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Ying Cheng, Professor, Jilin Province Cancer Hospital","Ying Cheng, Professor",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Revolution Medicines, Inc., Revolution Medicines, Inc.","Revolution Medicines, Inc.",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Lance Leopold, MD, Incyte Corporation","Lance Leopold, MD",Lung cancer (Ongoing)
"STUDY_CHAIR, Nehman Makdissy, Professor, Lebanese University","Nehman Makdissy, Professor",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, David R Spigel, MD, Sarah Cannon, The Cancer Institute of HCA Healthcare","David R Spigel, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Daniel Morgensztern, M.D., Washington University School of Medicine","Daniel Morgensztern, M.D.",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Wayne L Hofstetter, M.D. Anderson Cancer Center",Wayne L Hofstetter,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Clinical Trials, Hoffmann-La Roche",Clinical Trials,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Christen Ebens, MD, Masonic Cancer Center, University of Minnesota","Christen Ebens, MD",Lung cancer (Ongoing)
"STUDY_CHAIR, Babara Pistili, Dr, Gustave Roussy, Cancer Campus, Grand Paris","Babara Pistili, Dr",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Adam Crystal, MD, PhD, Tango Therapeutics, Inc.","Adam Crystal, MD, PhD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Bristol-Myers Squibb, Bristol-Myers Squibb",Bristol-Myers Squibb,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Judy Garber, MD, Dana-Farber Cancer Institute","Judy Garber, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Robert Zeillinger, Prof.Dr., Medical University Vienna, Dept. of Obstetrics & Gynaecology","Robert Zeillinger, Prof.Dr.",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Diler US ALTAY, Assoc. Prof., T.C. ORDU ÜNİVERSİTESİ","Diler US ALTAY, Assoc. Prof.",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Bristol-Myers Squibb, Bristol-Myers Squibb",Bristol-Myers Squibb,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Pfizer CT.gov Call Center, Pfizer",Pfizer CT.gov Call Center,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Francesco Petrella, European Institute of Oncology",Francesco Petrella,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Zhiyuan Tang, Doctor, Affilication Hospital of Nantong University","Zhiyuan Tang, Doctor",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Dae Yong Kim, M.D., National Cancer Center Korea(South Korea)","Dae Yong Kim, M.D.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Sebastian Fernandez-Bussy, M.D., Mayo Clinic","Sebastian Fernandez-Bussy, M.D.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, I-Rue Lai, MDPHD, National Taiwan University Hospital","I-Rue Lai, MDPHD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Head of Medical Science, Mitsubishi Tanabe Pharma America Inc.",Head of Medical Science,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Kyrre E Emblem, PhD, Oslo University Hospital","Kyrre E Emblem, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Elizabeth D Alva, Children's Oncology Group",Elizabeth D Alva,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Li Zhang, Master, West China Hospital|   PRINCIPAL_INVESTIGATOR, Yongsheng Wang, Doctor, West China Hospital","Li Zhang, Master| Yongsheng Wang, Doctor",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Mert Sentürk, Istanbul University Hospital",Mert Sentürk,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Medical Director, Merck Sharp & Dohme LLC",Medical Director,Lung cancer (Ongoing)
"STUDY_CHAIR, Sitra Tauscher-Wisniewski, MD, Novartis Gene Therapies, Inc.","Sitra Tauscher-Wisniewski, MD",Lung cancer (Ongoing)
"STUDY_CHAIR, Jean-Philippe SPANO, MD, PhD, Pitié-Salpêtrière hospital (APHP)","Jean-Philippe SPANO, MD, PhD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Novartis Pharmaceuticals, Novartis Pharmaceuticals",Novartis Pharmaceuticals,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, li-kun Chen, Doctor, Sun Yat-sen University","li-kun Chen, Doctor",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Anton Vladzymyrskyy, Research and Practical Clinical Center for Diagnostics and Telemedicine Technologies of the Moscow Health Care Department",Anton Vladzymyrskyy,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Richard W Childs, M.D., National Heart, Lung, and Blood Institute (NHLBI)","Richard W Childs, M.D.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Guangyuan Lou, Zhejiang Cancer Hospital",Guangyuan Lou,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_CHAIR, You Lu, MD, West China Hospital","You Lu, MD",Lung cancer (Ongoing)
"STUDY_CHAIR, Luo min, PhD, Guangzhou Bio-gene Technology Co., Ltd","Luo min, PhD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST), Eli Lilly and Company","Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Curtis Chin, MD, PhD, Mirati Therapeutics Inc.","Curtis Chin, MD, PhD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Daxin Zhang, Dr., First Affiliated Hospital of Harbin Medical University","Daxin Zhang, Dr.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Pallav L Shah, MD, Royal Brompton & Harefield NHS Foundation Trust","Pallav L Shah, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Eric Miller, MD, Ohio State University Comprehensive Cancer Center","Eric Miller, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Brendon Stiles, MD, Montefiore Medical Center","Brendon Stiles, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Helena M Verkooijen, MD, PhD, UMC Utrecht","Helena M Verkooijen, MD, PhD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Clinical Trials, Hoffmann-La Roche",Clinical Trials,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Yongchang Zhang, MD, Hunan Cancer Hospital","Yongchang Zhang, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Fabrice Barlesi, MD, PhD, Gustave Roussy, Cancer Campus, Grand Paris","Fabrice Barlesi, MD, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Jun Zhang, MD, PhD, University of Kansas Medical Center","Jun Zhang, MD, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Philippe B Wilson, Professor at Nottingham Trent University|   PRINCIPAL_INVESTIGATOR, Rishabh Prasad, Partner at Willows Health",Philippe B Wilson| Rishabh Prasad,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Fatma Arikan, PhD, RN, Akdeniz University","Fatma Arikan, PhD, RN",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Matthew Krasin, MD, St. Jude Children's Research Hospital","Matthew Krasin, MD",Lung cancer (Ongoing)
"STUDY_CHAIR, Nasser Altorki, MD, Weill Medical College of Cornell University","Nasser Altorki, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Sant P Chawla, MD, Sarcoma Oncology Research Center","Sant P Chawla, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Harriet Kluger, MD, Yale University","Harriet Kluger, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Yuri Pya, PhD, MD, National research Center for Cardiac Surgery JSC","Yuri Pya, PhD, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, William Stokes, Emory University Hospital/Winship Cancer Institute",William Stokes,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Keunchil Park, M.D,Ph.D., Samsung Medical Center","Keunchil Park, M.D,Ph.D.",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Cabilia Pichardo, MD, Executive Director of Clinical Development","Cabilia Pichardo, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Henry S. Park, MD, MPH, Yale University","Henry S. Park, MD, MPH",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Darren Wan-Teck Lim, MD, National Cancer Centre, Singapore","Darren Wan-Teck Lim, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, David Gerber, ECOG-ACRIN Cancer Research Group",David Gerber,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Gabriela Amstad Bencaiova, Dr. med., Department of Obstetrics and Gynaecology, University Hospital Basel","Gabriela Amstad Bencaiova, Dr. med.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Arsene MEKINIAN, MD PhD, Service de médecine interne, Hôpital Saint Antoine, APHP, Paris","Arsene MEKINIAN, MD PhD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Vedran Radojcic, M.D., Syndax Pharmaceuticals","Vedran Radojcic, M.D.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Joseph Treat, MD, Fox Chase Cancer Center","Joseph Treat, MD",Lung cancer (Ongoing)
"STUDY_CHAIR, Kai Wang, PhD, The Fourth Affiliated Hospital of Zhejiang University","Kai Wang, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Karamjeet S Sandhu, City of Hope Medical Center",Karamjeet S Sandhu,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Ashley Ghiaseddin, MD, University of Florida","Ashley Ghiaseddin, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Anne S Tsao, M.D. Anderson Cancer Center",Anne S Tsao,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, JUDITH RAIMBOURG, MD,PHD, judith.raimbourg@ico.unicancer.fr","JUDITH RAIMBOURG, MD,PHD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Patrick Ross, MD, PhD, Main Line Health","Patrick Ross, MD, PhD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Stew Kroll, Jounce Therapeutics, Inc.",Stew Kroll,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Medical Responsible, EMD Serono Research & Development Institute, Inc, a business of Merck KGaA, Darmstadt, Germany",Medical Responsible,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Jens Vogel-Claussen, Prof. Dr., Hannover Medical School","Jens Vogel-Claussen, Prof. Dr.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Debbie Robbrecht, Dr., Erasmus Medical Center","Debbie Robbrecht, Dr.",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Novartis Pharmaceuticals, Novartis Pharmaceuticals",Novartis Pharmaceuticals,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, ABBVIE INC., AbbVie",ABBVIE INC.,Lung cancer (Ongoing)
"STUDY_CHAIR, Jin Hyoung Kang, Seoul St. Mary's Hospital, The Catholic University of Korea",Jin Hyoung Kang,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Hui Zhao, Doctor, Puhe Biopharma","Hui Zhao, Doctor",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Vincent Cottin, Pr, Centre National de Référence des maladies pulmonaires rares","Vincent Cottin, Pr",Lung cancer (Ongoing)
